Group name,Activity type,Website,Area,Events URL
Washington Sea Grant,Nature/Conservation,https://waseagrant.uw.edu/news-events/calendar/,Puget Sound,https://waseagrant.uw.edu/news-events/calendar/
Washington Native Plant Society,Nature/Conservation,https://www.wnps.org/,Puget Sound,https://www.wnps.org/events
Evergreen Mountain Bike Alliance,Cycling,https://www.evergreenmtb.org/,South Sound,https://www.evergreenmtb.org/calendar
Puget Sound Beekeepers,Beekeeping,https://pugetsoundbees.org/,Puget Sound,https://pugetsoundbees.org/events/
Washington Butterfly Association,Nature/Conservation,https://wabutterflyassoc.org/,Seattle / Puget Sound area,https://wabutterflyassoc.org/field-trips/
Capitol Hill Tool Library,Tools,https://sustainablecapitolhill.org/tool-library/,Capitol Hill,https://www.meetup.com/sustainablecapitolhill/
Seattle Modern Quilt Guild,Art,https://www.seattlemqg.com/,Seattle,https://www.seattlemqg.com/Calendar-of-Everything
Seattle Print Arts,Art,https://www.seattleprintarts.org/,Seattle,https://www.seattleprintarts.org/new-events
Northwest Blacksmith Association,Art,https://blacksmith.org/,Seattle / Puget Sound area,https://blacksmith.org/events/
Seattle SAKE Paddling Club,Water Sports,https://www.clubsake.com/,Seattle,https://www.clubsake.com/events/list?page=1
Friends of Saltwater State Park,Nature/Conservation,https://www.friendssaltwater.org/,Saltwater,https://www.friendssaltwater.org/upcoming-events
Puget Sound Native Orchid Society,Nature/Conservation,https://www.psms.org/,Puget Sound,https://www.psms.org/
Duwamish Alive Coalition Volunteers,Nature/Conservation,https://www.duwamishalive.org/,Seattle / Puget Sound area,http://www.duwamishalive.org/events/
Northwest Lichenologists,Nature/Conservation,https://northwest-lichenologists.wildapricot.org/,Seattle / Puget Sound area,https://northwest-lichenologists.wildapricot.org/page-1816534
South King Tool Library,Tools,https://www.southkingtools.org/,"Auburn, Federal Way",https://www.southkingtools.org/classes-events
Northwest Stone Sculptors Association,Art,https://www.wagives.org/organization/Northwest-Stone-Sculptors-Assn,Seattle / Puget Sound area,https://www.wagives.org/404?redirectUrl=%2Fevents
Emerald City Stitches Quilting Circle,Art,https://emeraldstitches.com,Seattle / Puget Sound area,https://emeraldstitches.com
Northwest Scale Modelers,RC Soaring,https://nwsm.club/,Seattle / Puget Sound area,https://nwsm.club/events/
Seattle Book Arts Guild,Art,https://www.bookartsguild.org/,Seattle,https://www.bookartsguild.org/events
PNW Glass Art Guild,Art,https://www.pnwglassguild.org/,Seattle / Puget Sound area,https://www.pnwglassguild.org/events
Northwest Leathercrafters Guild,Art,https://tandyleather.com/pages/tandy-leather-seattle-126,Seattle / Puget Sound area,https://tandyleather.com/pages/tandy-leather-seattle-126
Green Seattle Partnership Park Stewards,Nature/Conservation,https://www.greenseattle.org/,Seattle,https://seattle.greencitypartnerships.org/
Seattle Zen Center Sanzen-kai,Fitness,https://www.seattlezendojo.org/,Seattle,https://www.seattlezendojo.org/profile/seattlezendojo/events
Seattle Food Committee,Community/Volunteering,https://www.seattlefoodcommittee.org,Seattle,https://www.seattlefoodcommittee.org/events
Northwest Harvest Food Packing Groups,Community/Volunteering,https://northwestharvest.org,Seattle / Puget Sound area,https://www.northwestharvest.org/get-involved/events/
Birds Connect Seattle (formerly Seattle Audubon),Birding,https://seattleaudubon.org,Seattle,https://birdsconnectsea.org/calendar/
Seattle Retro-Computing Society,Science,https://sea-rcs.org/,Puget Sound,https://www.seattleretrocomputing.com/
The Pratt Fine Arts Center,Art,https://www.pratt.org/glass-studio,Seattle / Puget Sound area,https://www.pratt.org/glass-studio
Seattle Makers,Art,https://seattlemakers.org/,Seattle / Puget Sound area,https://seattlemakers.org/events
Bellevue Arts Museum Arts Fair Volunteers,Science,https://www.bellevuearts.org/,Bellevue,https://www.bellevuearts.org/events
Pacific Northwest Art Pottery,Art,https://www.potterynorthwest.org/,Seattle / Puget Sound area,https://pottery-northwest.myshopify.com/pages/calendar
Washington Calligraphers Guild,Art,https://www.calligraphersguild.org/,Puget Sound,https://www.calligraphersguild.org/events-1
Common Area Maintenance,Art,https://www.camseattle.org/,Seattle,https://www.camseattle.org/events
Northwest Watercolor Society,Art,https://www.nwws.org/,Seattle,https://www.nwws.org/
Emerald City Stained Glass Crafters,Art,https://scottishstainedglass.com/cities/seattle-stained-glass/,Seattle / Puget Sound area,https://scottishstainedglass.com/cities/seattle-stained-glass/
South Puget Sound Woodturners,Art,https://spswoodturners.org/,South Sound,https://spswoodturners.org/events
Renton Art League,Art,https://alliedartsofrenton.org/,Renton,https://alliedartsofrenton.org/
Kent Community Arts,Art,https://www.kentwa.gov/departments/kent-parks/arts,Kent,https://www.kentwa.gov/departments/kent-parks/arts
Burien Arts Association,Art,https://www.burienarts.org/,Burien,https://www.burienarts.org/
PNW Geological Society Field Excursions,Science,https://nwgs.org/,Seattle / Puget Sound area,https://nwgs.org/events/
Pacific Northwest Microscopy Society,Science,https://pnms.microscopy.org/,Seattle,https://pnms.microscopy.org/Events
Entomological Society of Washington,Nature/Conservation,https://www.entsocwash.org/,Seattle,https://www.entsocwash.org/events
Pacific Science Center Science Communication Guild,Science,https://www.pacificsciencecenter.org,Seattle / Puget Sound area,https://pacificsciencecenter.org/events/
Northwest Paleontological Association,Science,https://www.northwestpaleo.org/about,Seattle,https://www.northwestpaleo.org/events
King County Elections Ballot Drop Box Volunteer Program,Community/Volunteering,https://kcelections.com/volunteer/,South King County,https://kcelections.com/volunteer/
Renton LGBTQIA+ Community Coalition,Advocacy,https://renton.lgbt/,Renton,https://renton.lgbt/events/
Eastside Legal Assistance Program (ELAP) Volunteers,Community/Volunteering,https://www.elap.org/,Eastside,https://elap.org/upcoming-events/
Equity in Education Coalition Volunteers,Advocacy,https://www.equityineducation.org/,Seattle / Puget Sound area,https://www.equityineducation.org/events
Kent Food Bank Volunteer Sorting Crew,Community/Volunteering,https://www.kentfoodbank.org/,Kent,https://www.kentfoodbank.org/volunteer/
Auburn Food Bank Action Group,Community/Volunteering,https://www.theauburnfoodbank.org/,Auburn,https://www.theauburnfoodbank.org/events
Des Moines Food Bank Volunteers,Outdoors,https://www.myfoodbank.org/,Des Moines,https://myfoodbank.org/volunteer/
Habitat for Humanity King County Construction Volunteers,Community/Volunteering,https://www.habitatskc.org/,South King County,https://www.habitatskc.org/news-events/events/
Rainier Valley Food Innovation,Community/Volunteering,https://www.rbcoalition.org/category/action-areas/growing-food-to-develop-healthy-industry/food-innovation-district/,South Seattle,https://www.rbcoalition.org/event-calendar/
King County Search and Rescue Volunteers,Community/Volunteering,https://kingcountysar.org/,South King County,https://kingcountysar.org/events-2/
Lifelong AIDS Alliance Volunteer Crew,Community/Volunteering,https://www.lifelong.org/,Seattle / Puget Sound area,https://www.lifelong.org/events
Chief Seattle Club Volunteer Network,Community/Volunteering,https://www.chiefseattleclub.org/,Seattle,https://www.chiefseattleclub.org/get-involved
Seattle Meals on Wheels Delivery Drivers,Community/Volunteering,https://soundgenerations.org/our-programs/food-security/meals-on-wheels/volunteer/,Seattle,https://soundgenerations.org/get-involved/attend-an-event/
Puget Sound Blood Center / Bloodworks NW Volunteers,Community/Volunteering,https://bloodworksnw.org/,Puget Sound,https://donate.bloodworksnw.org/
Operation Sack Lunch Volunteer Kitchen,Community/Volunteering,https://www.oslserves.org/,Seattle,https://www.oslserves.org/volunteer
Seattle Bike Works Community Mechanics,Cycling,https://bikeworks.org/,Seattle,https://bikeworks.org/events/
Beacon Hill Food Forest Stewards,Nature/Conservation,https://www.beaconfoodforest.org/,South Seattle,https://www.beaconfoodforest.org/events
Renton Permaculture & Community Garden Stewards,Nature/Conservation,https://www.sustainablerenton.org/community-garden,Renton,https://www.sustainablerenton.org/our-events
Kent Community Garden,Nature/Conservation,https://www.kentwa.gov/departments/kent-parks/parks-places/community-garden,Kent,https://www.kentwa.gov/departments/kent-parks/parks-places/community-garden
Auburn Community Garden Collective,Nature/Conservation,https://www.auburnwa.gov/city_hall/parks_arts_recreation/community_garden_program,Auburn,https://www.auburnwa.gov/visitors/community_calendar
Seattle Tilth Alliance Garden Stewards,Nature/Conservation,https://tilthalliance.org/,Seattle,https://tilthalliance.org/event/farm-fest-at-rainier-beach-urban-farm-wetlands-2/
Kubota Garden Foundation Stewards (Rainier Beach),Nature/Conservation,https://www.kubotagarden.org/,South Seattle,https://www.kubotagarden.org/event
Bellevue Botanical Garden Volunteers,Nature/Conservation,https://bellevuewa.gov,Bellevue,https://bellevuewa.gov/calendar
Seattle Area Soaring Society,RC Soaring,https://seattleareasoaringsociety.com/index.shtml,Seattle,https://seattleareasoaringsociety.com/calendar.shtml
Puget Sound Silent Flyers,RC Soaring,https://pugetsoundsilentflyers.com/,Puget Sound,https://pugetsoundsilentflyers.com/a/r/szz/rc/calendar
Pacific Slot Car Raceways,RC Soaring,https://www.pacificslotcarraceways.com/,Seattle,https://www.pacificslotcarraceways.com/events-calendar/
Seattle Auto Club Track Day Enthusiasts,Motorsports,https://www.motorsportreg.com/calendar/open-track-day/US/?country=US&radius=300&lat=47.49&lng=-122.29&loc=Seattle%2C+WA&types=open-track-day,Seattle,https://www.motorsportreg.com/event-management
Pacific Raceways Drag Racing Enthusiasts (Kent),Motorsports,https://www.pacificraceways.com/,Kent,https://pacificraceways.com/schedule/
Puget Sound Go Karting Association,Motorsports,https://psgka.com/,Seattle,https://psgka.com/schedule/
Northwest Overland Society,Outdoors,https://www.northwestoverland.com/,Seattle / Puget Sound area,https://www.northwestoverland.com/schedule
Seattle Eaglerider,Motorsports,https://www.eaglerider.com/seattle,Seattle,https://www.eaglerider.com/motorcycle-events?ref=navbar&sourcePage=/DYNAMIC_PAGES/_slugs_entry
South Sound Scooters,Motorsports,https://www.southsoundscooters.com/events-calendar-scooters-dealership--events,Puget Sound,https://www.southsoundscooters.com/events-calendar-scooters-dealership--events
Museum of Flight Docent Corps (Tukwila),Science,https://www.museumofflight.org/,Tukwila,https://www.museumofflight.org/exhibits-and-events/calendar-of-events
Northwest Seaplanes Flying Club,Flight/Aviation,http://northwestseaplanes.com,Seattle / Puget Sound area,https://www.northwestseaplanes.com/scenic-flights/
Puget Sound Soaring Association,Flight/Aviation,https://www.pugetsoundsoaring.org/,Puget Sound,https://pugetsoundsoaring.org/
Seattle Paragliding & Hang Gliding Club,Flight/Aviation,https://www.seattleparagliding.com/,Seattle,https://www.seattleparagliding.com/lessons/
Cascade Ultralight Flight Club,Flight/Aviation,https://www.flycascade.com/,Seattle / Puget Sound area,https://www.flycascade.com/events
Northwest Railway Museum,Science,https://trainmuseum.org/,Puget Sound,https://trainmuseum.org/upcoming-events/school-youth-programs/
United NorthWest Model Railroad Club,Games,https://unwclub.com/,Seattle,https://www.unwclub.com/unwshow/
Norwest School of Horology,Tools,http://www.norwestschoolofhorology.com/,Seattle,http://www.norwestschoolofhorology.com/calendar.php
North Seattle Homebrewers Guild,Food/Brewing,https://www.northseattlehomebrewers.com/,Seattle,https://www.northseattlehomebrewers.com/events
Northwest Cider Association,Food/Brewing,https://www.nwcider.com/,Puget Sound,https://www.nwcider.com/
Peninsula Fermentation Society,Food/Brewing,https://www.peninsulafermentation.org/,Puget Sound,https://www.peninsulafermentation.org/calendar
Greater Seattle Reiki Practice Group,Fitness,https://www.seattlecityreiki.com/,Seattle,https://www.seattlecityreiki.com/classes
Green Lake Morning Yoga Collective,Fitness,https://www.wellnesshealingarts.com/seattleyoga,Seattle / Puget Sound area,https://www.wellnesshealingarts.com/seattleyoga
Puget Sound Botanical Medicine Guild,Nature/Conservation,https://www.pugetsoundnaturopathic.com/,Puget Sound,https://www.pugetsoundnaturopathic.com/services
Eastside Audubon,Birding,https://www.eastsideaudubon.org/,Eastside,https://www.eastsideaudubon.org/calendar
Kitsap Audubon Society,Birding,https://www.kitsapaudubon.org/,Kitsap County,https://www.kitsapaudubon.org/events-1
Pilchuck Audubon Society,Birding,https://www.pilchuckaudubon.org/,Snohomish County,https://www.pilchuckaudubon.org/calendar
Rainier Audubon Society,Birding,https://rainieraudubon.org/,Auburn / Kent,https://rainieraudubon.org/
Skagit Audubon Society,Birding,https://www.skagitaudubon.org/,Mount Vernon,https://www.skagitaudubon.org/activities
Tahoma Bird Alliance,Birding,https://www.tahomabirdalliance.org/,Tacoma,https://www.tahomabirdalliance.org/calendar
Puget Sound Mycological Society,Nature/Conservation,https://www.psms.org/,Seattle,https://www.psms.org/all_events.php
